Team;Owner; Net worth 
ATL;Tony Ressler; $2,00 
BOS;Wyc Grousbeck; $0,40 
BRK;Mikhail Prokhorov; $9,80 
CHI;Jerry Reinsdorf; $1,40 
CHO;Michael Jordan; $1,90 
CLE;Dan Gilbert; $7,20 
DAL;Mark Cuban; $3,90 
DEN;Ann Walton Kroenke; $7,00 
DET;Tom Gores; $4,00 
GSW;Joe Lacob; $1,50 
HOU;Tilman Fertitta; $4,40 
IND;Herbert Simon; $3,20 
LAC;Steve Ballmer; $45,30 
LAL;Jeanie Buss; $0,50 
MEM;Robert J. Pera; $7,20 
MIA;Micky Arison; $8,60 
MIL;Wes Edens; $2,50 
MIN;Glen Taylor; $2,80 
NOP;Gayle Benson; $2,90 
NYK;James Dolan; $1,50 
OKC;Clay Bennett; $0,40 
ORL;Richard DeVos; $5,40 
PHI;Joshua Harris; $3,50 
PHO;Robert Sarver; $0,40 
POR;Jody Allen; $21,70 
SAC;Vivek Ranadive; $0,70 
SAS;Peter Holt; $0,20 
TOR;Larry Tanenbaum; $1,50 
UTA;Gail Miller; $1,75 
WAS;Ted Leonsis; $1,10 
