Team;Owner;premozenje
ATL;Tony Ressler;2000000000
BOS;Wyc Grousbeck;400000000
BRK;Mikhail Prokhorov;9800000000
CHI;Jerry Reinsdorf;1400000000
CHO;Michael Jordan;1900000000
CLE;Dan Gilbert;7200000000
DAL;Mark Cuban;3900000000
DEN;Ann Walton Kroenke;7000000000
DET;Tom Gores;4000000000
GSW;Joe Lacob;1500000000
HOU;Tilman Fertitta;4400000000
IND;Herbert Simon;3200000000
LAC;Steve Ballmer;45300000000
LAL;Jeanie Buss;500000000
MEM;Robert J. Pera;7200000000
MIA;Micky Arison;8600000000
MIL;Wes Edens;2500000000
MIN;Glen Taylor;2800000000
NOP;Gayle Benson;2900000000
NYK;James Dolan;1500000000
OKC;Clay Bennett;400000000
ORL;Richard DeVos;5400000000
PHI;Joshua Harris;3500000000
PHO;Robert Sarver;400000000
POR;Jody Allen;21700000000
SAC;Vivek Ranadive;700000000
SAS;Peter Holt;200000000
TOR;Larry Tanenbaum;1500000000
UTA;Gail Miller;1750000000
WAS;Ted Leonsis;1100000000
